# The rediscovery table (docs/ROADMAP.md section 10.2).
#
# One row per protection the project has paid for. Each row names a patch
# that REVERTS the protection and the test selector that must then fail.
# `sh tools/rediscovery/run.sh --tier N` applies each row of a tier to a
# scratch copy and requires the selected tests to fail there; a protection
# whose removal changes nothing is a comment with an if statement around it.
# `sh tools/rediscovery/check-patches.sh` (a gate phase) requires every row's
# patch to still apply to the working tree, so a refactor that moves a check
# fails the gate until the patch is redone.
#
# Columns, tab separated:
#   patch-file  under tools/rediscovery/patches/, applied with patch -p1 at
#               the root of the scratch copy
#   tier        the tier the selected tests belong to (section 10.1)
#   stage       '-' in Phase 0; tiers 6 and 7 name their stage here
#   suite       which suite the selector runs in: cabal (the Haskell
#               prototype's tasty suite), cargo (the Rust workspace), or
#               one non-Rust SDK's own suite -- python (unittest, in
#               sdk/python), mix (ExUnit, in sdk/elixir), maven (JUnit, in
#               sdk/java) or dotnet (xUnit, in sdk/dotnet)
#   test        the selector: a tasty pattern (-p) for cabal, a test-name
#               filter for cargo, a unittest -k pattern for python, a test
#               file (or file:line) for mix, a surefire -Dtest pattern for
#               maven, a --filter expression for dotnet; the baseline run
#               must select at least one
#   env         '-' or VAR=VALUE assignments the row is run with; a tier-7
#               row's seed and step count live here, not in a README
#
patch-file	tier	stage	suite	test	env
revert-composition-law.patch	1	-	cabal	laws	-
par-not-disjoint.patch	1	-	cabal	E0303	-
reach-late-arm.patch	1	-	cabal	E0401	-
auto-with-force.patch	1	-	cabal	E0404	-
permanent-plan-reverts-at-wane.patch	4	-	cabal	states	-
commit-before-last.patch	1	-	cabal	E0502	-
intent-ambiguous-accepted.patch	1	-	cabal	E0501	-
pending-no-reserve.patch	4	-	cabal	ledger	-
proof-scope-ignored.patch	1	-	cabal	requester	-
held-outlives-wane.patch	4	-	cabal	states	-
revert-composition-law-core.patch	1	-	cargo	reverse	-
par-not-disjoint-core.patch	1	-	cargo	par_ok	-
reach-late-arm-core.patch	1	-	cargo	the_reach_rule	-
commit-before-last-core.patch	1	-	cargo	commit_must_be_last	-
intent-ambiguous-accepted-core.patch	1	-	cargo	intent_is_wane_xor	-
proof-scope-ignored-core.patch	1	-	cargo	requester_is_counted	-
auto-with-force-core.patch	1	-	cargo	mode_rules	-
permanent-plan-reverts-at-wane-core.patch	4	-	cargo	rule_2_wane	-
held-outlives-wane-core.patch	4	-	cargo	rule_2_wane	-
pending-no-reserve-core.patch	4	-	cargo	pending_umbra	-
knell-no-cost-core.patch	2	-	cargo	every_artifact_matches	-
foreign-region-clobbered-core.patch	2	-	cargo	section_8	-
chain-skips-prev-hash-core.patch	1	-	cargo	a_chain_verifies	-
expiry-at-boundary-open-core.patch	4	-	cargo	expiry_is_observed	-
closure-uses-controller-fact-core.patch	1	-	cargo	closure_of_a_target_undo	-
secret-in-explain-core.patch	1	-	cargo	marks_every_secret_ref	-
secret-in-run-string-core.patch	1	-	cargo	secret_rules	-
secret-in-target-undo-core.patch	1	-	cargo	secret_rules	-
knell-reverse-allowed-core.patch	1	-	cargo	refuses_to_reverse	-
reach-defer-drift-accepted-core.patch	1	-	cargo	op_rules	-
temporary-after-not-wane-core.patch	1	-	cargo	backstop_rules	-
wait-unbounded-core.patch	1	-	cargo	wait_rules	-
artifact-language-unchecked-core.patch	1	-	cargo	artifact_language_rules	-
quote-posix-unescaped-core.patch	1	-	cargo	round_trips_in_every_family	-
quote-powershell-undoubled-core.patch	1	-	cargo	round_trips_in_every_family	-
artifact-forward-order-core.patch	1	-	cargo	reverse_order_and_nothing_else	-
artifact-renders-uncovered-step-core.patch	1	-	cargo	reverse_order_and_nothing_else	-
artifact-bakes-secret-core.patch	1	-	cargo	refusals	-
artifact-undoes-unmarked-step-core.patch	1	-	cargo	without_a_marker_is_skipped	-
artifact-keeps-marker-core.patch	1	-	cargo	due_undoes_every_marked_step	-
heartbeat-stale-not-fired-core.patch	1	-	cargo	stale_heartbeat_fires	-
defer-clobbers-core.patch	1	-	cargo	drift_defer_leaves	-
foreign-region-fallback-core.patch	1	-	cargo	damaged_region_markers	-
fuzz-check-panics-core.patch	4	-	cargo	check_never_panics	RUE_FUZZ_STEPS=5000
fuzz-render-panics-core.patch	4	-	cargo	render_never_panics	RUE_FUZZ_STEPS=5000
fmt-loses-comment.patch	1	-	cargo	fmt_is_the_identity	-
parse-error-not-recovered.patch	2	-	cargo	every_snippet_matches	-
clause-on-runtime-fact.patch	1	-	cargo	a_clause_on_a_non_contract_fact	-
unknown-compare-allowed.patch	1	-	cargo	a_comparison_against_unknown	-
closure-accepted.patch	1	-	cargo	an_unbounded_repeat	-
output-before-step-accepted.patch	1	-	cargo	an_output_read_before	-
secret-call-not-secret.patch	2	-	cargo	every_artifact_matches	-
import-cycle-accepted.patch	1	-	cargo	an_import_cycle	-
slot-order-nondeterministic.patch	1	-	cargo	roles_fill_slots	-
protocol-inverse-unpaired.patch	1	-	cargo	a_protocol_expands	-
defprim-class-ignored.patch	1	-	cargo	a_defprim_call	-
journal-optional.patch	1	-	cargo	the_site_is_validated	-
hook-without-registrar-accepted.patch	1	-	cargo	the_site_is_validated	-
bench-over-budget.patch	1	-	cargo	within_the_acceptance_bound	-
apply-before-journal-ack.patch	1	-	cargo	the_write_ahead_entry_is_acknowledged_before_the_step_runs	-
stuck-swallowed.patch	1	-	cargo	a_failing_undo_is_stuck_retried_each_pass_and_abandonable	-
silent-executor-ok.patch	1	-	cargo	an_executor_that_promises_output_and_returns_none_is_a_refusal	-
settle-fires-wane.patch	1	-	cargo	the_settle_flag_survives_a_crash_during_boot	-
stuck-inescapable.patch	4	-	cargo	every_applicable_row_of_the_transition_table_is_driven_through_the_engine	-
register-before-hello.patch	1	-	cargo	a_hook_registers_by_a_declared_registrar_only	-
admin-verb-without-admin.patch	1	-	cargo	every_verb_runs_over_the_channel_within_the_operator_s_scope	-
hook-registration-unjournaled.patch	1	-	cargo	a_hook_registers_by_a_declared_registrar_only	-
hook-registered-by-undeclared.patch	1	-	cargo	a_hook_registers_by_a_declared_registrar_only	-
scope-violation-allowed.patch	1	-	cargo	every_verb_runs_over_the_channel_within_the_operator_s_scope	-
rehearsal-reserves-umbras.patch	1	-	cargo	a_rehearsal_journals_every_step_calls_no_executor_and_reserves_nothing	-
drift-outside-footprint-ignored.patch	1	-	cargo	a_do_that_touches_another_op_s_fact_is_r0201_and_reverts	-
undo-restores-over-actor.patch	1	-	cargo	a_changed_fact_under_defer_holds_the_instance_until_forced	-
artifact-engine-drift-disagree.patch	1	-	cargo	a_damaged_region_is_restored_whole_unless_a_sibling_holds_a_region_on_the_file	-
staged-file-survives-crash.patch	1	-	cargo	staged_files_of_an_instance_not_applying_are_removed_at_boot	-
driftheld-releases-umbras.patch	1	-	cargo	a_changed_fact_under_defer_holds_the_instance_until_forced	-
region-undo-releases-host-lock-early.patch	1	-	cargo	a_region_undo_holds_the_host_lock_from_decision_to_write_and_the_manifest_is_never_written_in_place	-
manifest-rewritten-in-place.patch	1	-	cargo	a_region_undo_holds_the_host_lock_from_decision_to_write_and_the_manifest_is_never_written_in_place	-
unbootstrapped-target-dir-created.patch	1	-	cargo	an_unbootstrapped_host_is_r0407_and_a_target_undo_without_a_filesystem_is_r0408	-
target-undo-no-filesystem-sticks.patch	1	-	cargo	an_unbootstrapped_host_is_r0407_and_a_target_undo_without_a_filesystem_is_r0408	-
driftheld-reverted-at-wane.patch	1	-	cargo	a_changed_fact_under_defer_holds_the_instance_until_forced	-
bootstrap-runs-commands.patch	1	-	cargo	bootstrap_reports_what_a_host_lacks_with_its_family_s_commands_and_runs_nothing	-
deferred-no-way-out.patch	1	-	cargo	a_step_on_a_host_no_transport_reaches_is_deferred_and_handoff_done_continues	-
backstop-armed-after-reach-op.patch	1	-	cargo	the_artifact_is_installed_before_the_first_covered_step_and_armed_before_the_step_that_needs_it	-
renew-commits-before-rearm.patch	1	-	cargo	renewal_rearms_before_the_new_expiry_is_the_instance_s_and_a_failing_rearm_refuses_it	-
boot-reclaims-armed-artifact.patch	1	-	cargo	boot_leaves_an_armed_orphan_where_it_is_and_reclaims_a_fired_one	-
wrong-modes-armed.patch	1	-	cargo	a_target_clock_beyond_tolerance_refuses_to_arm_and_a_wrong_mode_directory_refuses_too	-
commit-leaves-backstop-armed.patch	1	-	cargo	commit_disarms_everything_before_the_instance_directory_goes	-
abandon-leaves-artifact-unjournaled.patch	1	-	cargo	abandon_disarms_where_it_can_and_says_what_it_left_armed	-
temporary-heartbeat-refused.patch	1	-	cargo	the_heartbeat_is_written_at_its_interval_and_a_temporary_plan_may_have_one	-
same-anchor-two-plans-allowed.patch	1	-	cargo	distinct_regions_on_one_fact_coexist_and_the_same_anchor_never_does	-
manifest-read-unlocked.patch	1	-	cargo	a_region_undo_holds_the_host_lock_from_decision_to_write_and_the_manifest_is_never_written_in_place	-
hold-under-auto-refused.patch	1	-	cargo	a_hold_under_auto_mode_is_not_refused_and_reverts_at_wane	-
secret-held-past-revert.patch	1	-	cargo	a_held_secret_is_revealed_once_and_dropped_when_the_instance_ends	-
ack-without-token.patch	1	-	cargo	an_acknowledgement_the_binding_refuses_is_denied_and_the_knell_stays_shut	-
host-contract-change-ignored.patch	1	-	cargo	a_host_contract_that_changes_after_the_request_refuses_and_takes_the_proofs	-
